 ******* Program HYDRUS-1D
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  16. 3.2026    Time:  13:17:23
 Units: L = cm   , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

        1  0.1000000E-02  0.10000E-02    2        2    -4    -5     T
        2  0.2300000E-02  0.13000E-02    2        4    -4    -5     T
        3  0.3990000E-02  0.16900E-02    2        6    -4    -5     T
        4  0.6187000E-02  0.21970E-02    2        8    -4    -5     T
        5  0.9043100E-02  0.28561E-02    2       10    -4    -5     T
        6  0.1275603E-01  0.37129E-02    2       12    -4    -5     T
        7  0.1758284E-01  0.48268E-02    2       14    -4    -5     T
        8  0.2385769E-01  0.62749E-02    2       16    -4    -5     T
        9  0.3201499E-01  0.81573E-02    2       18    -4    -5     T
       10  0.4261949E-01  0.10604E-01    2       20    -4    -5     T
       11  0.5640534E-01  0.13786E-01    2       22    -4    -5     T
       12  0.7432693E-01  0.17922E-01    2       24    -4    -5     T
       13  0.9762501E-01  0.23298E-01    2       26    -4    -5     T
       14  0.1279125E+00  0.30287E-01    2       28    -4    -5     T
       15  0.1672863E+00  0.39374E-01    2       30    -4    -5     T
       16  0.2184721E+00  0.51186E-01    2       32    -4    -5     T
       17  0.2850138E+00  0.66542E-01    2       34    -4    -5     T
       18  0.3743870E+00  0.89373E-01    2       36    -4    -5     T
       19  0.4786559E+00  0.10427E+00    2       38    -4    -5     T
       20  0.6089919E+00  0.13034E+00    2       40    -4    -5     T
       21  0.8044959E+00  0.19550E+00    2       42    -4    -5     T
       22  0.1000000E+01  0.19550E+00    2       44    -4    -5     T
       23  0.1250000E+01  0.25000E+00    2       46    -4    -5     T
       24  0.1625000E+01  0.37500E+00    2       48    -4    -5     T
       25  0.2000000E+01  0.37500E+00    2       50    -4    -5     T
       26  0.2500000E+01  0.50000E+00    3       53    -4    -5     T
       27  0.3000000E+01  0.50000E+00    2       55    -4    -5     T
       28  0.3500000E+01  0.50000E+00    2       57    -4    -5     T
       29  0.4000000E+01  0.50000E+00    2       59    -4    -5     T
       30  0.5000000E+01  0.10000E+01    3       62    -4    -5     T
       31  0.6000000E+01  0.10000E+01    4       66    -4    -5     T
       32  0.6001000E+01  0.10000E-02    2       68    -4    -5     T
       33  0.6002300E+01  0.13000E-02    2       70    -4    -5     T
       34  0.6003990E+01  0.16900E-02    2       72    -4    -5     T
       35  0.6006187E+01  0.21970E-02    2       74    -4    -5     T
       36  0.6009043E+01  0.28561E-02    2       76    -4    -5     T
       37  0.6012756E+01  0.37129E-02    2       78    -4    -5     T
       38  0.6017583E+01  0.48268E-02    2       80    -4    -5     T
       39  0.6023858E+01  0.62749E-02    2       82    -4    -5     T
       40  0.6032015E+01  0.81573E-02    2       84    -4    -5     T
       41  0.6042619E+01  0.10604E-01    2       86    -4    -5     T
       42  0.6056405E+01  0.13786E-01    2       88    -4    -5     T
       43  0.6074327E+01  0.17922E-01    2       90    -4    -5     T
       44  0.6097625E+01  0.23298E-01    2       92    -4    -5     T
       45  0.6127913E+01  0.30287E-01    2       94    -4    -5     T
       46  0.6167286E+01  0.39374E-01    2       96    -4    -5     T
       47  0.6218472E+01  0.51186E-01    2       98    -4    -5     T
       48  0.6285014E+01  0.66542E-01    2      100    -4    -5     T
       49  0.6374387E+01  0.89373E-01    2      102    -4    -5     T
       50  0.6478656E+01  0.10427E+00    2      104    -4    -5     T
       51  0.6608992E+01  0.13034E+00    2      106    -4    -5     T
       52  0.6804496E+01  0.19550E+00    4      110    -4    -5     T
       53  0.7000000E+01  0.19550E+00    2      112    -4    -5     T
       54  0.7250000E+01  0.25000E+00    4      116    -4    -5     T
       55  0.7500000E+01  0.25000E+00    2      118    -4    -5     T
       56  0.7750000E+01  0.25000E+00    2      120    -4    -5     T
       57  0.8000000E+01  0.25000E+00    2      122    -4    -5     T
       58  0.8500000E+01  0.50000E+00    2      124    -4    -5     T
       59  0.9000000E+01  0.50000E+00    2      126    -4    -5     T
       60  0.9500000E+01  0.50000E+00    3      129    -4    -5     T
       61  0.1000000E+02  0.50000E+00    2      131    -4    -5     T
       62  0.1100000E+02  0.10000E+01    3      134    -4    -5     T
       63  0.1200000E+02  0.10000E+01    3      137    -4    -5     T
       64  0.1300000E+02  0.10000E+01    3      140    -4    -5     T
       65  0.1400000E+02  0.10000E+01    4      144    -4    -5     T
       66  0.1500000E+02  0.10000E+01    4      148    -4    -5     T
       67  0.1600000E+02  0.10000E+01    3      151    -4    -5     T
       68  0.1700000E+02  0.10000E+01    3      154    -4    -5     T
       69  0.1800000E+02  0.10000E+01    3      157    -4    -5     T
       70  0.1900000E+02  0.10000E+01    4      161    -4    -5     T
       71  0.2000000E+02  0.10000E+01    3      164    -4    -5     T
       72  0.2100000E+02  0.10000E+01    3      167    -4    -5     T
       73  0.2200000E+02  0.10000E+01    3      170    -4    -5     T
       74  0.2300000E+02  0.10000E+01    2      172    -4    -5     T
       75  0.2400000E+02  0.10000E+01    3      175    -4    -5     T
       76  0.2500000E+02  0.10000E+01    3      178    -4    -5     T
       77  0.2600000E+02  0.10000E+01    2      180    -4    -5     T
       78  0.2700000E+02  0.10000E+01    2      182    -4    -5     T
       79  0.2800000E+02  0.10000E+01    3      185    -4    -5     T
       80  0.2900000E+02  0.10000E+01    3      188    -4    -5     T
       81  0.3000000E+02  0.10000E+01    3      191    -4    -5     T
       82  0.3100000E+02  0.10000E+01    4      195    -4    -5     T
