 ******* Program HYDRUS
 ******* 
 Replicate Fairfield dual perm model using runhydrus, add artificial KBr 
 Date:  31. 3.2026    Time:  18: 9:31
 Units: L = cm   , T = days , M = mmol 


 Time:     0.000000

 Node    Depth    Head   Moisture   HeadF  MoistureF      Flux       FluxF      Sink       Transf       TranS       Temp          ConcF       Conc(1...NS)
          [L]      [L]     [-]       [L]       [-]       [L/T]       [L/T]       [-]        [1/T]     [M/L3/T]        [C]         [M/L3]      [M/L3]

   1     0.00    -150.00 0.2908     -150.00 0.012342  -0.439E-02  -0.338E-01 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2    -1.75    -150.00 0.2908     -150.00 0.012342  -0.439E-02  -0.338E-01 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
   3    -3.50    -150.00 0.2908     -150.00 0.012342  -0.439E-02  -0.338E-01 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
   4    -5.25    -150.00 0.2908     -150.00 0.012342  -0.439E-02  -0.338E-01 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
   5    -7.00    -150.00 0.2908     -150.00 0.012342  -0.439E-02  -0.338E-01 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
   6    -8.75    -150.00 0.2908     -150.00 0.012342  -0.861E-02  -0.254E-01 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
   7   -10.50    -150.00 0.2708     -150.00 0.002707  -0.170E-01  -0.851E-02 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
   8   -12.25    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
   9   -14.00    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  10   -15.75    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  11   -17.50    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  12   -19.25    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  13   -21.00    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  14   -22.75    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  15   -24.50    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  16   -26.25    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
