,Unnamed: 0,t,S,J,ET,Q,C_in,C_out,C_in --> Q
0,1,1,23.8643791666667,0.0,0.0,0.0212857142857143,0.0,0.0,0.0
1,2,2,23.804921875,0.0,0.0392396,0.0213,0.0,0.0,0.0
2,3,3,23.74708,0.0,0.05088,0.0213,0.0,0.0,0.0
3,4,4,23.697625,0.0,0.0412397,0.0213,0.0,0.0,0.0
4,5,5,23.648835,0.0,0.040005,0.02128,0.0,0.0,0.0
5,6,6,23.589146875,0.0,0.0318964,0.0212,0.0,0.0,0.0
6,7,7,23.5622807291667,0.0,0.0529579,0.0212,0.0,0.0,0.0
7,8,8,23.59035,0.127,0.00550401,0.0211166666666667,12.7,0.0,0.0009516440003974933
8,9,9,23.5724416666667,0.0,0.00196543,0.0210333333333333,0.0,0.0,0.0019032564763475394
9,10,10,23.5487,0.0,0.00505272,0.02085,0.0,0.0,0.0019032094432181808
10,11,11,23.5199125,0.0,0.0297062,0.0207,0.0,0.0,0.0019031627855559952
11,12,12,23.44768125,0.0,0.0383665,0.020375,0.0,0.0,0.0019031166624081384
12,13,13,23.39946875,0.0,0.0453607,0.02015,0.0,0.0,0.0019030711579515818
13,14,14,23.360334375,0.0,0.0388666,0.019875,0.0,0.0,0.0019030262159996313
14,15,15,23.316890625,0.0,0.0109675,0.0195,0.0,0.0,0.0019029820049334184
15,16,16,23.284209375,0.0,0.0322082,0.019225,0.0,0.0,0.001902938524702927
16,17,17,23.2479916666667,0.0,0.0107936,0.0188333333333333,0.0,0.0,0.0019028957939697902
17,18,18,23.2144791666667,0.0,0.0286349,0.0185,0.0,0.0,0.001902853878177011
18,19,19,23.169846875,0.0,0.0115209,0.0181,0.0,0.0,0.0019028127866261583
19,20,20,23.136465625,0.0,0.0332128,0.01775,0.0,0.0,0.0019027725379757525
20,21,21,23.1051041666667,0.0,0.0199359,0.0174,0.0,3.56333333333333e-30,0.0019027330760390975
21,22,22,23.08215,0.0,0.00390259,0.01715,0.0,1.825e-29,0.0019026942885038702
22,23,23,23.058875,0.0,0.00331538,0.0167,0.0,1.2375e-28,0.00190265628758926
23,24,24,23.03875,0.0,0.004954,0.0164,0.0,3.71e-28,0.001902619129379169
24,25,25,23.00633125,0.0,0.0144066,0.016,0.0,2.965e-27,0.00190258275769472
25,26,26,22.9898375,0.0,0.0031176,0.0157,0.0,7.7e-27,0.0019025471724915543
26,27,27,22.966475,0.0,0.00355763,0.0154,0.0,3.1100000000000004e-26,0.0019025122614721526
27,28,28,22.9460875,0.0,0.00624708,0.015,0.0,1.11e-25,0.0019024781368501221
28,29,29,22.9110875,0.0,0.0203863,0.0146,0.0,4.835e-25,0.001902444910832591
29,30,30,22.89315,0.0,0.00538603,0.0143,0.0,1.0099999999999999e-24,0.0019024124711256541
30,31,31,22.8727625,0.0,0.0116437,0.014,0.0,2.7899999999999998e-24,0.001902380705443484
31,32,32,22.7980375,0.0,0.0473845,0.0135,0.0,1.2724e-23,0.0019023498382386447
32,33,33,22.7896828703704,0.0,0.0630768,0.0132888888888889,0.0,2.2055555555555602e-23,0.0019023197696985145
33,34,34,22.8406791666667,0.2032,0.0399452,0.0129888888888889,20.32,4.9199999999999993e-23,0.004338506705021198
34,35,35,22.82735,0.0,0.00712377,0.0127,0.0,1.06166666666667e-22,0.00677464534428421
35,36,36,22.8869732954545,0.0,0.0131493,0.0123212121212121,0.0,2.45348484848485e-22,0.006774545329915201
36,37,37,22.9795588235294,0.2794,0.00714067,0.0121,27.94,4.1488235294117597e-22,0.01138042101316489
37,38,38,22.996465625,0.0,0.00378569,0.0118,0.0,8.307499999999999e-22,0.015986212722995146
38,39,39,22.9917625,0.0,0.00279184,0.01155,0.0,1.4500000000000002e-21,0.015985992480980468
39,40,40,22.98485,0.0,0.00368482,0.0113,0.0,2.645e-21,0.015985776958006397
40,41,41,22.9823125,0.0,0.00229452,0.0111,0.0,4.040000000000001e-21,0.015985565682288726
41,42,42,22.9719875,0.0,0.00168419,0.0109,0.0,7.13e-21,0.015985358182069698
42,43,43,22.964025,0.0,0.00221853,0.0106,0.0,1.23e-20,0.015985155400365037
43,44,44,22.9543125,0.0,0.00299701,0.0104,0.0,2.08e-20,0.015984957336999294
44,45,45,22.946175,0.0,0.00243267,0.0103,0.0,3.46e-20,0.01598476210551391
45,46,46,22.9368125,0.0,0.00200145,0.0101,0.0,5.68e-20,0.015984569705801283
46,47,47,22.92395,0.0,0.00474912,0.00995,0.0,9.23e-20,0.01598438060932161
47,48,48,22.909775,0.0,0.00657635,0.00983,0.0,1.49e-19,0.0159841940614709
48,49,49,22.8979625,0.0,0.00714009,0.00972,0.0,2.38e-19,0.01598400968492074
49,50,50,22.87915,0.0,0.0139899,0.00962,0.0,3.78e-19,0.015983827290978754
50,51,51,22.84778125,0.0,0.027755,0.00952,0.0,6.78e-19,0.01598364678526937
51,52,52,22.810353125,0.0,0.0210071,0.0094325,0.0,1.2222500000000002e-18,0.01598346804984574
52,53,53,22.774740625,0.0,0.0387192,0.00937,0.0,1.9325e-18,0.015983290731003227
53,54,54,22.737246875,0.0,0.0477467,0.00931,0.0,3.07e-18,0.01598311456935714
54,55,55,22.708765625,0.0,0.0206349,0.00926,0.0,4.9e-18,0.01598293944699015
55,56,56,22.673245,0.0,0.0203362,0.009204,0.0,8.2e-18,0.015982765326146894
56,57,57,22.639684375,0.0,0.0443076,0.0091575,0.0,1.27875e-17,0.015982592173789497
57,58,58,22.6097375,0.0,0.0263866,0.0091075,0.0,2.1e-17,0.015982419933306086
58,59,59,22.5770125,0.0,0.0121708,0.009044,0.0,3.63e-17,0.015982248764975903
