"","t","S","J","ET","Q","C_in","C_out"
"1",1,23.8643791666667,0,0,0.0212857142857143,0,0
"2",2,23.804921875,0,0.0392396,0.0213,0,0
"3",3,23.74708,0,0.05088,0.0213,0,0
"4",4,23.697625,0,0.0412397,0.0213,0,0
"5",5,23.648835,0,0.040005,0.02128,0,0
"6",6,23.589146875,0,0.0318964,0.0212,0,0
"7",7,23.5622807291667,0,0.0529579,0.0212,0,0
"8",8,23.59035,0.127,0.00550401,0.0211166666666667,12.7,0
"9",9,23.5724416666667,0,0.00196543,0.0210333333333333,0,0
"10",10,23.5487,0,0.00505272,0.02085,0,0
"11",11,23.5199125,0,0.0297062,0.0207,0,0
"12",12,23.44768125,0,0.0383665,0.020375,0,0
"13",13,23.39946875,0,0.0453607,0.02015,0,0
"14",14,23.360334375,0,0.0388666,0.019875,0,0
"15",15,23.316890625,0,0.0109675,0.0195,0,0
"16",16,23.284209375,0,0.0322082,0.019225,0,0
"17",17,23.2479916666667,0,0.0107936,0.0188333333333333,0,0
"18",18,23.2144791666667,0,0.0286349,0.0185,0,0
"19",19,23.169846875,0,0.0115209,0.0181,0,0
"20",20,23.136465625,0,0.0332128,0.01775,0,0
"21",21,23.1051041666667,0,0.0199359,0.0174,0,3.56333333333333e-30
"22",22,23.08215,0,0.00390259,0.01715,0,1.825e-29
"23",23,23.058875,0,0.00331538,0.0167,0,1.2375e-28
"24",24,23.03875,0,0.004954,0.0164,0,3.71e-28
"25",25,23.00633125,0,0.0144066,0.016,0,2.965e-27
"26",26,22.9898375,0,0.0031176,0.0157,0,7.7e-27
"27",27,22.966475,0,0.00355763,0.0154,0,3.11e-26
"28",28,22.9460875,0,0.00624708,0.015,0,1.11e-25
"29",29,22.9110875,0,0.0203863,0.0146,0,4.835e-25
"30",30,22.89315,0,0.00538603,0.0143,0,1.01e-24
"31",31,22.8727625,0,0.0116437,0.014,0,2.79e-24
"32",32,22.7980375,0,0.0473845,0.0135,0,1.2724e-23
"33",33,22.7896828703704,0,0.0630768,0.0132888888888889,0,2.20555555555556e-23
"34",34,22.8406791666667,0.2032,0.0399452,0.0129888888888889,20.32,4.92e-23
"35",35,22.82735,0,0.00712377,0.0127,0,1.06166666666667e-22
"36",36,22.8869732954545,0,0.0131493,0.0123212121212121,0,2.45348484848485e-22
"37",37,22.9795588235294,0.2794,0.00714067,0.0121,27.94,4.14882352941176e-22
"38",38,22.996465625,0,0.00378569,0.0118,0,8.3075e-22
"39",39,22.9917625,0,0.00279184,0.01155,0,1.45e-21
"40",40,22.98485,0,0.00368482,0.0113,0,2.645e-21
"41",41,22.9823125,0,0.00229452,0.0111,0,4.04e-21
"42",42,22.9719875,0,0.00168419,0.0109,0,7.13e-21
"43",43,22.964025,0,0.00221853,0.0106,0,1.23e-20
"44",44,22.9543125,0,0.00299701,0.0104,0,2.08e-20
"45",45,22.946175,0,0.00243267,0.0103,0,3.46e-20
"46",46,22.9368125,0,0.00200145,0.0101,0,5.68e-20
"47",47,22.92395,0,0.00474912,0.00995,0,9.23e-20
"48",48,22.909775,0,0.00657635,0.00983,0,1.49e-19
"49",49,22.8979625,0,0.00714009,0.00972,0,2.38e-19
"50",50,22.87915,0,0.0139899,0.00962,0,3.78e-19
"51",51,22.84778125,0,0.027755,0.00952,0,6.78e-19
"52",52,22.810353125,0,0.0210071,0.0094325,0,1.22225e-18
"53",53,22.774740625,0,0.0387192,0.00937,0,1.9325e-18
"54",54,22.737246875,0,0.0477467,0.00931,0,3.07e-18
"55",55,22.708765625,0,0.0206349,0.00926,0,4.9e-18
