

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

     1.00000  0.392000E-01  0.000000E+00  0.392000E-01  0.000000E+00 -0.141658E-02   -190.598      0.000   -150.000       1
     2.00000  0.901000E-01  0.000000E+00  0.901000E-01  0.000000E+00 -0.283505E-02   -235.105      0.000   -149.981       2
     3.00000  0.131300E+00  0.000000E+00  0.131300E+00  0.000000E+00 -0.426901E-02   -258.157      0.000   -149.867       3
     4.00000  0.171300E+00  0.000000E+00  0.171300E+00  0.000000E+00 -0.574426E-02   -283.341      0.000   -149.577       4
     5.00000  0.203200E+00  0.000000E+00  0.203200E+00  0.000000E+00 -0.733295E-02   -292.692      0.000   -149.008       5
     6.00000  0.256200E+00  0.000000E+00  0.256200E+00  0.000000E+00 -0.905022E-02   -372.447      0.000   -148.177       6
     7.00000  0.131700E+00  0.000000E+00  0.131700E+00  0.000000E+00 -0.108524E-01   -132.044      0.000   -147.222       7
     8.00000  0.133700E+00  0.000000E+00  0.133700E+00  0.000000E+00 -0.128395E-01   -172.587      0.000   -146.064       8
     9.00000  0.138800E+00  0.000000E+00  0.138800E+00  0.000000E+00 -0.150520E-01   -182.189      0.000   -144.774       9
    10.00000  0.168500E+00  0.000000E+00  0.168500E+00  0.000000E+00 -0.174772E-01   -216.964      0.000   -143.431      10
    11.00000  0.206900E+00  0.000000E+00  0.206900E+00  0.000000E+00 -0.201724E-01   -254.798      0.000   -142.076      11
    12.00000  0.252300E+00  0.000000E+00  0.252300E+00  0.000000E+00 -0.230807E-01   -307.487      0.000   -140.737      12
    13.00000  0.291200E+00  0.000000E+00  0.291200E+00  0.000000E+00 -0.261971E-01   -340.670      0.000   -139.431      13
    14.00000  0.302200E+00  0.000000E+00  0.302200E+00  0.000000E+00 -0.295155E-01   -296.405      0.000   -138.163      14
    15.00000  0.334400E+00  0.000000E+00  0.334400E+00  0.000000E+00 -0.330287E-01   -336.629      0.000   -136.942      15
    16.00000  0.345200E+00  0.000000E+00  0.345200E+00  0.000000E+00 -0.367289E-01   -303.911      0.000   -135.769      16
    17.00000  0.373800E+00  0.000000E+00  0.373800E+00  0.000000E+00 -0.406088E-01   -342.419      0.000   -134.642      17
    18.00000  0.385300E+00  0.000000E+00  0.385300E+00  0.000000E+00 -0.446610E-01   -315.211      0.000   -133.563      18
    19.00000  0.418500E+00  0.000000E+00  0.418500E+00  0.000000E+00 -0.488782E-01   -372.950      0.000   -132.529      19
    20.00000  0.438400E+00  0.000000E+00  0.438400E+00  0.000000E+00 -0.532531E-01   -366.126      0.000   -131.542      20
    21.00000  0.442300E+00  0.000000E+00  0.442300E+00  0.000000E+00 -0.577788E-01   -319.044      0.000   -130.597      21
    22.00000  0.445600E+00  0.000000E+00  0.445600E+00  0.000000E+00 -0.624487E-01   -296.757      0.000   -129.694      22
    23.00000  0.450600E+00  0.000000E+00  0.450600E+00  0.000000E+00 -0.672583E-01   -288.026      0.000   -128.831      23
    24.00000  0.465000E+00  0.000000E+00  0.465000E+00  0.000000E+00 -0.721980E-01   -301.464      0.000   -128.005      24
    25.00000  0.468100E+00  0.000000E+00  0.468100E+00  0.000000E+00 -0.772638E-01   -282.780      0.000   -127.216      25
    26.00000  0.471700E+00  0.000000E+00  0.471700E+00  0.000000E+00 -0.824517E-01   -274.471      0.000   -126.461      26
    27.00000  0.477900E+00  0.000000E+00  0.477900E+00  0.000000E+00 -0.877549E-01   -273.475      0.000   -125.740      27
    28.00000  0.498300E+00  0.000000E+00  0.498300E+00  0.000000E+00 -0.931667E-01   -303.423      0.000   -125.050      28
    29.00000  0.503700E+00  0.000000E+00  0.503700E+00  0.000000E+00 -0.986839E-01   -286.395      0.000   -124.391      29
