 ******* Program HYDRUS-1D
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  16. 3.2026    Time:  15:52:44
 Units: L = cm   , T = days , M = mmol 



                               Node(  2)                      Node(  5)                      Node(  9)                      Node( 14)                      Node( 18)                      Node( 27)                      Node( 41)                      Node( 52)                      Node( 64)                      Node( 84)

         time           h      theta    Flux           h      theta    Flux           h      theta    Flux           h      theta    Flux           h      theta    Flux           h      theta    Flux           h      theta    Flux           h      theta    Flux           h      theta    Flux           h      theta    Flux   
          0.0010     -150.00  0.3029 -0.443E-02       -150.00  0.3029 -0.458E-02       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01
          0.0023     -150.00  0.3029 -0.428E-02       -150.00  0.3029 -0.460E-02       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01
          0.0040     -150.00  0.3029 -0.406E-02       -150.00  0.3029 -0.462E-02       -150.00  0.2821 -0.221E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01
          0.0062     -150.01  0.3029 -0.380E-02       -150.00  0.3029 -0.465E-02       -150.00  0.2821 -0.221E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01
          0.0090     -150.01  0.3029 -0.345E-02       -150.00  0.3029 -0.468E-02       -150.00  0.2821 -0.221E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01
          0.0128     -150.03  0.3029 -0.302E-02       -150.00  0.3029 -0.472E-02       -150.00  0.2821 -0.221E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01
          0.0176     -150.05  0.3029 -0.247E-02       -150.00  0.3029 -0.478E-02       -150.00  0.2821 -0.220E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.221E-01
          0.0239     -150.08  0.3029 -0.173E-02       -150.01  0.3029 -0.485E-02       -150.00  0.2820 -0.220E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.221E-01
          0.0320     -150.15  0.3028 -0.649E-03       -150.01  0.3029 -0.494E-02       -150.01  0.2820 -0.219E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.221E-01
          0.0426     -150.26  0.3028  0.630E-03       -150.02  0.3029 -0.504E-02       -150.01  0.2820 -0.217E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.220E-01
          0.0564     -150.43  0.3027  0.215E-02       -150.04  0.3029 -0.517E-02       -150.03  0.2820 -0.215E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -149.99  0.2821 -0.220E-01
          0.0743     -150.70  0.3025  0.390E-02       -150.06  0.3029 -0.532E-02       -150.05  0.2820 -0.212E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -149.98  0.2821 -0.218E-01
          0.0976     -151.10  0.3023  0.585E-02       -150.10  0.3029 -0.549E-02       -150.08  0.2820 -0.208E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -149.97  0.2821 -0.215E-01
          0.1279     -151.69  0.3020  0.796E-02       -150.16  0.3028 -0.568E-02       -150.13  0.2820 -0.203E-01       -150.00  0.2821 -0.221E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -150.00  0.2821 -0.222E-01       -149.94  0.2821 -0.212E-01
